,aqi,pm10,co,o3,so2,no2,pm25,city_name,lon,lat,state_code
0,25,1.12976,304.163,54.0,0.216765,0.290849,0.847324,Whitlocks Mill,-67.24,45.17,ME
1,34,1.03505,293.314,73.4031,0.149012,0.225249,0.631691,"VA Boston Healthcare System, West Roxbury Campus",-67.84,46.13,ME
2,25,10.0,148.85,54.0,0.0,0.0,4.4,McGraw,-68,46.79,ME
3,24,4.14108,355.899,52.0,0.0,1.4914,3.10581,Bar Harbor,-68.2,44.39,ME
4,30,0.944581,275.373,64.0,0.325963,0.347412,0.708436,Bangor,-68.78,44.8,ME
5,23,1.24744,276.208,50.0,0.370666,0.352098,0.768193,Waterville,-69.65,44.55,ME
6,24,1.24744,276.208,52.0,0.370666,0.352098,0.935578,Augusta,-69.78,44.31,ME
7,26,3.0309,310.421,55.5,0.878237,2.5,3.0,Lewiston,-70.22,44.1,ME
8,28,4.26432,478.148,60.0,0.372529,2.5,3.0,Munjoy Hill,-70.25,43.67,ME
9,40,10.2901,148.85,86.75,0.625,2.85714,7.71755,West Town Landing,-70.88,42.52,MA
10,37,2.33268,343.5,80.2857,0.625,8.75,1.74951,Mount Pleasant,-70.94,41.66,MA
11,40,5.40205,148.85,86.75,0.625,2.85714,4.05154,South End,-71.07,42.33,MA
12,36,1.51945,343.5,77.0,0.625,8.75,1.13959,Newport,-71.31,41.49,RI
13,50,13.0,160.3,90.4444,0.9375,2.85714,12.0,Lowell,-71.32,42.63,MA
14,35,4.98548,343.5,76.0,0.625,6.25,3.73911,Providence,-71.41,41.82,RI
15,44,13.0,160.3,94.8571,0.833333,2.5,9.0,Manchester,-71.46,43,NH
16,44,13.0,160.3,96.0,0.833333,0.534172,7.0,Concord,-71.54,43.21,NH
17,40,3.87131,171.75,85.5,0.0,3.75,2.90348,Belmont Hill,-71.8,42.27,MA
18,44,14.0,399.292,77.5,0.575557,1.40304,10.5,New London,-72.1,41.36,CT
19,39,2.46133,103.05,84.0,0.0,0.434433,1.846,Montpelier,-72.58,44.26,VT
20,42,13.0,309.15,90.5,1.25,2.5,8.0,McKnight and Bay,-72.58,42.12,MA
21,39,14.0,280.525,84.0,0.625,3.75,7.8,Hartford,-72.68,41.77,CT
22,39,14.0,280.525,84.4444,0.0,4.6875,7.8,Whitneyville,-72.9,41.33,CT
23,37,14.0,221.367,79.7143,0.0,4.6875,7.8,Waterbury,-73.05,41.55,CT
24,39,14.0,251.9,83.5,0.0,6.25,7.8,Bridgeport,-73.2,41.18,CT
25,39,2.22551,223.275,84.0,0.0,2.5,1.66913,Burlington,-73.21,44.48,VT
26,43,4.81839,308.335,94.0,0.743195,0.392931,3.61379,Pittsfield,-73.26,42.45,MA
27,31,2.22551,343.5,66.4294,1.28709,2.5,1.66913,River Heights Mobile Home Community,-73.46,44.69,NY
28,40,13.0,114.5,86.0,0.0,5.0,7.6,Stamford,-73.54,41.05,CT
29,39,5.52355,307.5,84.0,0.650994,0.753731,4.14266,Saratoga Springs,-73.79,43.08,NY
30,39,5.87804,329.614,84.0,0.746921,0.788539,4.40853,North Bethlehem,-73.82,42.67,NY
31,26,2.47402,343.8,56.5,0.91549,1.12323,1.85552,Poughkeepsie,-73.92,41.7,NY
32,39,5.52355,307.5,84.0,0.650994,0.753731,4.14266,Schenectady,-73.94,42.81,NY
33,39,13.0,341.21,84.0,0.5,7.08333,8.5,Tudor City,-73.98,40.75,NY
34,39,13.0,341.21,84.9231,0.416667,6.25,8.5,Paterson,-74.17,40.92,NJ
35,39,13.0,341.21,84.8571,0.416667,6.25,8.5,Oak Island Junction,-74.17,40.7,NJ
36,38,5.85211,416.815,82.0,0.0,0.82067,3.70073,Atlantic City,-74.42,39.36,NJ
37,55,18.0,480.9,85.0,0.833333,10.25,14.5,Trenton,-74.74,40.22,NJ
38,58,18.0,437.39,82.8571,0.75,12.1875,15.8,Tioga,-75.17,40,PA
39,88,8.55858,311.255,150.204,0.853091,0.696164,3.8,Utica,-75.23,43.1,NY
40,29,3.15621,372.589,63.1429,0.0,0.900996,2.36716,Allentown,-75.5,40.6,PA
41,37,6.03426,388.443,81.0,0.0,0.910368,4.52569,Goldsboro,-75.52,39.16,DE
42,58,18.0,426.513,81.8462,0.535714,10.0,15.8,Wilmington,-75.55,39.75,DE
43,30,4.68875,329.196,64.5,0.627711,0.522792,3.51656,Scranton,-75.66,41.41,PA
